# The official descriptions of the .con commands, from the BF2 editor
# Source: bf2editor/Help/CommandDescriptions.dat
# Commands: 546
Addin.SelectAnimationEditor	Activate AnimationEditor
Addin.SelectLevelEditor	Activate LevelEditor
Addin.SelectObjectEditor	Activate ObjectEditor
Addin.SelectTerrainEditor	Activate TerrainEditor
AnimationEditor.On1p	Enter first person mode
AnimationEditor.On3p	Enter third person mode
AnimationEditor.OnAnimationMode	Enter normal animation mode
AnimationEditor.OnSelectViewMode1	Activate first view mode in list
AnimationEditor.OnSelectViewMode2	Activate second view mode in list
AnimationEditor.OnSelectViewMode3	Activate third view mode in list
AnimationEditor.OnSelectViewMode4	Activate fourth view mode in list
AnimationEditor.OnSelectViewMode5	Activate fifth view mode in list
AnimationEditor.OnSelectViewMode6	Activate sixth view mode in list
AnimationEditor.OnTestMode	Enter test mode with terrain
AnimationEditor.OnToggleCameraMode	Toggles between 1p and 3p
AnimationEditor.Refresh	Recreate soldier using avaible settings
AnimationEditor.RemoveWeapon	Drop active weapon
AnimationEditor.ZoomToSoldier	Zooms to soldier
Backup.OnBackup	Performs a backup of level
Camera.OnNormalMode	Normal freecamera mode
Camera.OnSnapToTerrain	Normal freecamera that snaps to terrain
Camera.OnSoldierMode	Moves camera to a soldier
Camera.OnTopDownMode	Top-down camera
ConsoleUI.ClearAll	Clears the console
ConsoleUI.ExecuteCommand	Executes the console command
ConsoleUI.SetConsoleUIFocus	Gives the console focus
Global.OnCopy	Copy
Global.OnCut	Cut
Global.OnImport	Import in active plugin
Global.OnLoad	Load in active plugin
Global.OnNew	New in active plugin
Global.OnPaste	Paste
Global.OnSave	Save in active plugin
Global.OnSaveAll	Save in all plugins
Global.OnUndo	Undo
Global.RenderNextFrame	Renders next frame (when in pause)
Global.SubMode1	Activates submode 1 in plugin
Global.SubMode2	Activates submode 2 in plugin
Global.SubMode3	Activates submode 3 in plugin
Global.SubMode4	Activates submode 4 in plugin
Global.SubMode5	Activates submode 5 in plugin
Global.SubMode6	Activates submode 6 in plugin
Global.SubMode7	Activates submode 7 in plugin
Global.SubMode8	Activates submode 8 in plugin
Global.SubMode9	Activates submode 9 in plugin
Global.ToggleFocus	Toggles input focus between Editor- and EngineFocus
Global.TogglePauseRenderer	Toggles pause
Import.ImportAll	Imports all object meshes
Layer.OnAddToLayer	Add selected object(s) to active layer
Layer.OnDelete	Delets active layer and moves object(s) to default layer
Layer.OnLockLayer	Locks/Unlocks the layer
Layer.OnNewLayer	Creates a new layer
Layer.OnRemoveFromLayer	Remove selected object(s) to default layer
Layer.OnSelectAllInLayer	Selects object(s) in layer
LevelEditor.DefineLevelBrush	Creates a new brush from selected object(s)
LevelEditor.LastOffsetCopy	Copies the 2 selected objects to clipboard for a offset copy
LevelEditor.ToggleMove	Activates move mode
LevelEditor.TogglePaint	Activates paint brush mode
LevelEditor.ToggleRotate	Activates rotate mode
LevelEditor.ToggleScale	Activates scale mode
LevelEditor.ToggleSelect	Activates selection mode
LevelEditor.ToggleSpline	Activates spline mode
Movement.DecreaseSpeed	Camera speed is decreased
Movement.IncreaseSpeed	Camera speed is increased
Movement.ResetPosition	Position is reset to 0,0,0 (should be default position of layer)
Movement.ResetSpeed	Camera speed is reset to 100 %
